City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,geraldton,-28.7667,114.6,23.23,60,51,11.32,AU,1714509032
161,west hattiesburg,31.3191,-89.3751,30.03,50,0,2.24,US,1714509033
162,greymouth,-42.4667,171.2,11.2,93,100,4.02,NZ,1714509033
163,golere,16.2557,-14.1017,35.69,17,0,6.93,SN,1714509033
164,rubidoux,33.9961,-117.4056,30.45,40,0,3.09,US,1714509034
165,fortuna,40.5982,-124.1573,14.96,64,0,8.23,US,1714509034
166,mkokotoni,-5.8767,39.2547,26.07,87,56,4.19,TZ,1714509034
167,muroto-misakicho,33.2833,134.15,17.98,91,100,8.26,JP,1714509035
168,kuchinarai,16.541,104.05,28.98,43,54,2.55,TH,1714509035
169,lompoc,34.6391,-120.4579,24.83,60,0,11.32,US,1714509035
170,al jawf,29.5,38.75,21.95,43,68,3.52,SA,1714509036
171,santa cruz,-17.8,-63.1667,32.03,58,20,9.77,BO,1714509004
172,igualada,41.581,1.6172,14.96,88,100,1.85,ES,1714509037
173,al burayqah,30.4062,19.5739,23.94,54,66,5.14,LY,1714509037
174,bartica,6.4,-58.6167,30.18,93,100,0.68,GY,1714509037
175,tomatlan,19.9333,-105.25,31.21,33,30,5.32,MX,1714509038
176,puerto el triunfo,13.2833,-88.55,29.96,70,44,4.38,SV,1714509038
177,happy valley-goose bay,53.3168,-60.3315,1.17,93,100,6.69,CA,1714509038
178,bitkine,11.9801,18.2138,31.93,10,57,2.66,TD,1714509039
179,empangeni,-28.762,31.8933,20.97,54,0,1.77,ZA,1714509039
180,buala,-8.145,159.5921,28.69,78,75,1.63,SB,1714509040
181,pokrovka,42.3414,78.0056,7.6,85,100,0.55,KG,1714509040
182,boguchany,58.3814,97.4531,-3.97,74,65,4.47,RU,1714509040
183,villa gesell,-37.2639,-56.973,16.7,75,100,6.58,AR,1714508749
184,paidha,2.4167,30.9855,18.51,82,28,2.23,UG,1714509041
185,sao vicente,-23.9631,-46.3919,34.59,26,1,1.47,BR,1714508451
186,qaqortoq,60.7167,-46.0333,3.05,86,100,2.38,GL,1714508953
187,hamilton,39.1834,-84.5333,25.51,47,20,4.63,US,1714509022
188,cururupu,-1.8283,-44.8683,23.78,99,100,0.64,BR,1714509042
189,ambodifotatra,-16.9833,49.85,25.97,85,100,3.47,MG,1714509043
190,vorgashor,67.5833,63.95,-13.44,98,93,2.32,RU,1714509043
191,luanda,-8.8368,13.2343,28.0,85,8,3.09,AO,1714509043
192,gao,16.6362,1.637,32.81,19,12,6.23,ML,1714509044
193,nagqu,31.5,92.0,-0.19,24,90,1.69,CN,1714509044
